SERIALNO,OCCP,AGEP,SEX,RAC1P,HISP,SCHL,STATE,PUMA,ESR,WAGP,COW,WKHP
2019GQ0000143,8740.0,22,1,2,1,17.0,21,1903,6.0,1500.0,1.0,40.0
2019GQ0000172,,19,1,1,1,16.0,21,1703,6.0,0.0,,
2019GQ0000249,,75,1,1,1,16.0,21,100,6.0,0.0,,
2019GQ0000369,4140.0,21,1,2,1,14.0,21,1400,6.0,0.0,1.0,
2019GQ0000377,,70,2,1,1,12.0,21,1704,6.0,0.0,,
2019GQ0000401,5740.0,31,2,1,1,16.0,21,900,6.0,1500.0,1.0,35.0
2019GQ0000429,4220.0,20,1,1,1,16.0,21,1901,1.0,70.0,1.0,10.0
2019GQ0000489,,90,2,1,1,9.0,21,1200,6.0,0.0,,
2019GQ0000534,,36,1,2,1,12.0,21,1500,6.0,0.0,,
2019GQ0000552,3960.0,19,2,1,1,19.0,21,900,6.0,0.0,1.0,
2019GQ0000587,8030.0,27,1,1,1,16.0,21,400,6.0,0.0,1.0,
2019GQ0000708,,84,2,1,1,16.0,21,100,6.0,0.0,,
2019GQ0000797,4435.0,18,2,2,1,16.0,21,1901,3.0,1400.0,5.0,34.0
2019GQ0000860,,37,1,1,1,17.0,21,1300,6.0,0.0,,
2019GQ0000917,4055.0,20,1,1,1,19.0,21,1901,3.0,500.0,1.0,15.0
2019GQ0001030,9830.0,28,1,6,1,21.0,21,300,4.0,22000.0,5.0,45.0
2019GQ0001046,220.0,36,1,1,1,17.0,21,2600,6.0,19200.0,1.0,40.0
2019GQ0001127,7120.0,50,1,2,1,14.0,21,2400,6.0,18000.0,1.0,40.0
2019GQ0001156,8990.0,30,1,1,1,19.0,21,700,6.0,16800.0,1.0,40.0
2019GQ0001416,,32,1,1,1,16.0,21,2800,6.0,0.0,,
2019GQ0001573,4220.0,30,1,1,1,17.0,21,2800,6.0,0.0,1.0,
2019GQ0001603,9310.0,46,1,1,1,19.0,21,900,3.0,15300.0,1.0,20.0
2019GQ0001627,,70,1,1,1,17.0,21,2100,6.0,0.0,,
