SERIALNO,TYPEHUGQ
2022GQ0000029,2
2022GQ0000118,2
2022GQ0000184,3
2022GQ0000384,3
2022GQ0000396,2
2022GQ0000431,2
2022GQ0000809,3
2022GQ0000861,3
2022GQ0000940,3
2022GQ0001033,2
2022GQ0001058,3
2022GQ0001176,3
2022GQ0001212,3
2022GQ0001354,3
2022GQ0001410,3
2022GQ0001465,2
2022GQ0001492,3
2022GQ0001615,3
2022GQ0001650,2
2022GQ0001654,2
2022GQ0001820,2
2022GQ0002053,3
2022GQ0002125,3
2022GQ0002131,3
2022GQ0002141,2
2022GQ0002142,3
2022GQ0002181,3
2022GQ0002211,2
2022GQ0002393,2
2022GQ0002450,3
2022GQ0002481,3
2022GQ0002491,3
2022GQ0002529,3
2022GQ0002624,3
2022GQ0002653,3
2022GQ0002755,3
2022GQ0002993,3
2022GQ0003229,3
2022GQ0003271,3
2022GQ0003274,2
2022GQ0003300,3
2022GQ0003332,3
2022GQ0003339,3
2022GQ0003356,2
2022GQ0003367,2
2022GQ0003491,3
2022GQ0003515,3
2022GQ0003619,3
2022GQ0003654,3
2022GQ0003662,3
2022GQ0003701,3
2022GQ0003924,3
2022GQ0003982,3
2022GQ0004051,2
2022GQ0004054,2
2022GQ0004171,3
2022GQ0004304,2
2022GQ0004310,2
2022GQ0004437,2
2022GQ0004785,2
2022GQ0005017,3
2022GQ0005110,3
2022GQ0005186,3
2022GQ0005292,3
2022GQ0005426,2
2022GQ0005641,3
2022GQ0005642,3
2022GQ0005766,2
2022GQ0005781,3
2022GQ0005856,2
2022GQ0005890,2
2022GQ0005915,2
2022GQ0006063,2
2022GQ0006256,2
2022GQ0006293,2
2022GQ0006316,2
2022GQ0006345,2
2022GQ0006591,3
2022GQ0006673,2
2022GQ0007032,3
2022GQ0007068,3
2022GQ0007144,3
2022GQ0007262,3
2022GQ0007473,2
2022GQ0007666,3
2022GQ0007719,3
2022GQ0007863,2
2022GQ0007988,2
2022GQ0008053,3
2022GQ0008142,2
2022GQ0008194,2
2022GQ0008259,2
2022GQ0008284,2
2022GQ0008511,3
2022GQ0008547,3
2022GQ0008606,2
2022GQ0008607,2
2022GQ0008731,2
2022GQ0008740,3
2022GQ0008754,2
2022GQ0008846,2
2022GQ0008888,3
2022GQ0009149,2
2022GQ0009345,3
2022GQ0009425,2
2022GQ0009569,3
2022GQ0009620,2
2022GQ0009646,2
2022GQ0009901,2
2022GQ0009903,2
2022GQ0009947,3
2022GQ0010046,2
2022GQ0010162,2
2022GQ0010218,2
2022GQ0010272,2
2022GQ0010403,2
2022GQ0010494,3
2022GQ0010522,3
2022GQ0010618,3
2022GQ0011051,3
2022GQ0011159,3
2022GQ0011414,2
2022GQ0011470,3
2022GQ0011610,2
2022GQ0011615,2
2022GQ0011623,2
2022GQ0011638,2
2022GQ0011652,2
2022GQ0011750,3
2022GQ0011825,3
2022GQ0011838,3
2022GQ0011978,3
2022GQ0012083,2
2022GQ0012109,2
2022GQ0012185,3
2022GQ0012400,3
2022GQ0012417,2
2022GQ0012528,3
2022GQ0012538,2
2022GQ0012646,3
2022GQ0012725,3
2022GQ0012906,2
2022GQ0012942,3
2022GQ0013074,2
2022GQ0013275,2
2022GQ0013280,3
2022GQ0013340,2
2022GQ0013597,3
2022GQ0013688,2
2022GQ0013691,2
2022GQ0013699,3
2022GQ0013761,3
2022GQ0013890,2
2022GQ0014179,2
2022GQ0014280,2
2022GQ0014284,3
2022GQ0014308,3
2022GQ0014451,2
2022GQ0014516,3
2022GQ0014611,2
2022GQ0014714,3
2022GQ0014729,2
2022GQ0014733,2
2022GQ0014902,2
2022GQ0014975,2
2022GQ0015190,3
2022GQ0015255,3
2022GQ0015279,2
2022GQ0015398,3
2022GQ0015404,2
2022GQ0015430,2
2022GQ0015680,3
2022GQ0015758,2
2022GQ0015867,2
2022GQ0015939,2
2022GQ0016016,3
2022GQ0016345,3
2022GQ0016476,3
2022GQ0016530,3
2022GQ0016634,2
2022GQ0016636,3
2022GQ0016648,3
2022GQ0016810,2
2022GQ0016845,3
2022GQ0016865,2
2022GQ0016878,3
2022GQ0017090,2
2022GQ0017247,3
2022GQ0017286,3
2022GQ0017409,2
2022GQ0017421,2
2022GQ0017522,3
2022GQ0017612,3
2022GQ0017727,2
2022GQ0017743,3
2022GQ0017754,3
2022GQ0017762,2
2022GQ0017828,2
2022GQ0018018,3
2022GQ0018040,2
2022GQ0018061,3
2022GQ0018065,3
2022GQ0018070,2
2022GQ0018078,3
2022GQ0018117,2
2022GQ0018128,2
2022GQ0018153,2
2022GQ0018186,2
2022GQ0018196,3
2022GQ0018328,3
2022GQ0018487,2
2022GQ0018506,2
2022GQ0018530,2
2022GQ0018606,2
2022GQ0018640,3
2022GQ0018658,2
2022GQ0018785,3
2022GQ0018812,3
2022GQ0018937,3
2022GQ0019118,3
2022GQ0019122,3
2022GQ0019216,3
2022GQ0019372,3
2022GQ0019688,3
2022GQ0019938,2
2022GQ0019994,3
2022GQ0020015,3
2022GQ0020062,3
2022GQ0020095,2
2022GQ0020146,3
2022GQ0020156,2
2022GQ0020228,2
2022GQ0020373,3
2022GQ0020525,2
2022GQ0020628,3
2022GQ0020808,3
2022GQ0020811,2
2022GQ0021111,2
2022GQ0021154,2
2022GQ0021191,3
2022GQ0021360,2
2022GQ0021372,2
2022GQ0021651,2
2022GQ0021678,3
2022GQ0021902,2
2022GQ0021950,2
2022GQ0021961,2
2022GQ0022004,2
2022GQ0022022,2
2022GQ0022125,2
2022GQ0022167,2
2022GQ0022219,3
2022GQ0022232,2
2022GQ0022429,2
2022GQ0022568,3
2022GQ0022596,2
2022GQ0022743,3
2022GQ0022840,2
2022GQ0022935,2
2022GQ0023085,2
2022GQ0023086,2
2022GQ0023097,2
2022GQ0023226,2
2022GQ0023315,2
2022GQ0023321,3
2022GQ0023391,3
2022GQ0023672,3
2022GQ0023849,3
2022GQ0023920,3
2022GQ0023973,2
2022GQ0024024,3
2022GQ0024069,2
2022GQ0024102,3
2022GQ0024130,2
2022GQ0024191,3
2022GQ0024215,2
2022GQ0024245,2
2022GQ0024263,3
2022GQ0024317,2
2022GQ0024412,2
2022GQ0024457,2
2022GQ0024461,3
2022GQ0024464,2
2022GQ0024592,3
2022GQ0024913,3
2022GQ0025155,2
2022GQ0025184,2
2022GQ0025228,2
2022GQ0025258,3
2022GQ0025269,2
2022GQ0025314,3
2022GQ0025335,2
2022GQ0025541,3
2022GQ0025684,3
2022GQ0025726,2
2022GQ0025747,2
2022GQ0025755,3
2022GQ0025773,3
2022GQ0025777,2
2022GQ0025789,2
2022GQ0025811,2
2022GQ0025827,3
2022GQ0025881,2
2022GQ0025898,3
2022GQ0025996,2
2022GQ0026011,3
2022GQ0026059,3
2022GQ0026134,3
2022GQ0026194,3
2022GQ0026430,2
2022GQ0026742,2
2022GQ0026767,3
2022GQ0026829,3
2022GQ0026840,2
2022GQ0026854,2
2022GQ0026963,2
2022GQ0027042,2
2022GQ0027052,2
2022GQ0027218,3
2022GQ0027286,2
2022GQ0027296,3
2022GQ0027463,2
2022GQ0027520,3
2022GQ0027693,2
2022GQ0027735,2
2022GQ0027837,2
2022GQ0027927,2
2022GQ0027980,3
2022GQ0028164,2
2022GQ0028308,2
2022GQ0028349,3
2022GQ0028355,2
2022GQ0028380,2
2022GQ0028387,2
2022GQ0028577,2
2022GQ0028645,2
2022GQ0028778,2
2022GQ0028843,2
2022GQ0028950,2
2022GQ0029236,2
2022GQ0029262,2
2022GQ0029297,2
2022GQ0029407,2
2022GQ0029445,3
2022GQ0029517,2
2022GQ0029566,2
2022GQ0029639,3
2022GQ0029656,3
2022GQ0029702,3
2022GQ0029725,3
2022GQ0029737,2
2022GQ0029884,3
2022GQ0029939,3
2022GQ0030107,2
2022GQ0030133,3
2022GQ0030168,3
2022GQ0030236,2
2022GQ0030412,3
2022GQ0030462,3
2022GQ0030489,2
2022GQ0030508,2
2022GQ0030529,3
2022GQ0030547,2
2022GQ0030602,2
2022GQ0030609,2
2022GQ0030717,3
2022GQ0030802,3
2022GQ0030808,2
2022GQ0030864,2
2022GQ0030882,3
2022GQ0030885,3
2022GQ0030942,2
2022GQ0030977,3
2022GQ0031016,3
2022GQ0031079,3
2022GQ0031161,2
2022GQ0031331,2
2022GQ0031355,2
2022GQ0031402,3
2022GQ0031600,3
2022GQ0031693,2
2022GQ0031710,3
2022GQ0031770,3
2022GQ0031773,2
2022GQ0031881,2
2022GQ0031908,2
2022GQ0031969,2
2022GQ0032028,2
2022GQ0032131,2
2022GQ0032203,2
2022GQ0032217,3
2022GQ0032366,3
2022GQ0032430,3
2022GQ0032630,3
2022GQ0032716,2
2022GQ0032829,3
2022GQ0032873,3
2022GQ0032899,3
2022GQ0032914,2
2022GQ0032934,2
2022GQ0033011,3
2022GQ0033185,3
2022GQ0033400,3
2022GQ0033436,3
2022GQ0033528,2
2022GQ0033552,3
2022GQ0033555,2
2022GQ0033649,2
2022GQ0033766,3
2022GQ0033830,3
2022GQ0033950,2
2022GQ0034007,2
2022GQ0034052,2
2022GQ0034129,2
2022GQ0034187,2
2022GQ0034290,2
2022GQ0034355,2
2022GQ0034378,2
2022GQ0034423,2
2022GQ0034529,3
2022GQ0034639,2
2022GQ0034673,2
2022GQ0034675,3
2022GQ0034737,2
2022GQ0034774,3
2022GQ0035111,3
2022GQ0035284,2
2022GQ0035328,3
2022GQ0035369,2
2022GQ0035406,2
2022GQ0035409,3
2022GQ0035512,3
2022GQ0035637,2
2022GQ0035653,3
2022GQ0035664,3
2022GQ0035861,3
2022GQ0035864,3
2022GQ0035918,2
2022GQ0035938,3
2022GQ0036042,3
2022GQ0036165,3
2022GQ0036174,3
2022GQ0036254,2
2022GQ0036268,2
2022GQ0036288,3
2022GQ0036353,2
2022GQ0036420,2
2022GQ0036425,2
2022GQ0036432,2
2022GQ0036717,2
2022GQ0036892,3
2022GQ0036908,2
2022GQ0037120,3
2022GQ0037203,2
2022GQ0037219,2
2022GQ0037270,3
2022GQ0037300,3
2022GQ0037313,2
2022GQ0037375,3
2022GQ0037389,2
2022GQ0037392,3
2022GQ0037770,3
2022GQ0037916,2
2022GQ0037941,3
2022GQ0038207,2
2022GQ0038385,2
2022GQ0038571,2
2022GQ0038578,3
2022GQ0038588,3
2022GQ0038907,3
2022GQ0039317,3
2022GQ0039460,3
2022GQ0039630,3
2022GQ0039906,3
2022GQ0040053,2
2022GQ0040177,2
2022GQ0040231,3
2022GQ0040321,3
2022GQ0040352,2
2022GQ0040401,3
2022GQ0040437,3
2022GQ0040794,2
2022GQ0040822,3
2022GQ0040872,3
2022GQ0040932,3
2022GQ0040961,2
2022GQ0040963,3
2022GQ0040987,2
2022GQ0041074,2
2022GQ0041154,3
2022GQ0041209,2
2022GQ0041425,3
2022GQ0041659,3
2022GQ0041661,2
2022GQ0041676,3
2022GQ0041802,2
2022GQ0041975,3
2022GQ0042203,3
2022GQ0042348,3
2022GQ0042594,3
2022GQ0042606,2
2022GQ0042672,3
2022GQ0042722,2
2022GQ0042871,3
2022GQ0042881,2
2022GQ0042943,2
2022GQ0043084,3
2022GQ0043161,3
2022GQ0043185,3
2022GQ0043316,2
2022GQ0043380,3
2022GQ0043460,2
2022GQ0043531,2
2022GQ0043536,3
2022GQ0043718,2
2022GQ0043768,2
2022GQ0043839,2
2022GQ0043920,2
2022GQ0043958,3
2022GQ0044045,3
2022GQ0044141,2
2022GQ0044185,2
2022GQ0044189,2
2022GQ0044289,3
2022GQ0044306,2
2022GQ0044390,3
2022GQ0044498,3
2022GQ0044769,2
2022GQ0044904,3
2022GQ0044931,2
2022GQ0045058,2
2022GQ0045063,3
2022GQ0045072,2
2022GQ0045074,3
2022GQ0045131,3
2022GQ0045195,2
2022GQ0045333,2
2022GQ0045504,3
2022GQ0045565,2
2022GQ0045569,3
2022GQ0045580,3
2022GQ0045585,3
2022GQ0045597,2
2022GQ0045653,2
2022GQ0045714,3
2022GQ0045718,2
2022GQ0045773,3
2022GQ0045962,2
2022GQ0046028,3
2022GQ0046204,3
2022GQ0046205,3
2022GQ0046331,3
2022GQ0046358,3
2022GQ0046401,3
2022GQ0046435,3
2022GQ0046465,2
2022GQ0046483,2
2022GQ0046634,2
2022GQ0046770,2
2022GQ0046835,3
2022GQ0046870,3
2022GQ0046892,3
2022GQ0046965,3
2022GQ0046984,2
2022GQ0047118,3
2022GQ0047122,2
2022GQ0047176,3
2022GQ0047218,2
2022GQ0047285,2
2022GQ0047356,2
2022GQ0047379,3
2022GQ0047510,3
2022GQ0047752,3
2022GQ0047801,3
2022GQ0047851,2
2022GQ0047947,3
2022GQ0047994,2
2022GQ0048052,3
2022GQ0048172,3
2022GQ0048379,2
2022GQ0048476,3
2022GQ0048490,3
2022GQ0048609,3
2022GQ0048660,2
2022GQ0048698,2
2022GQ0048713,2
2022GQ0048722,3
2022GQ0048767,2
2022GQ0048892,2
2022GQ0048893,2
2022GQ0048920,2
2022GQ0048949,2
2022GQ0048958,3
2022GQ0048962,2
2022GQ0049099,2
2022GQ0049235,3
2022GQ0049271,3
2022GQ0049401,3
2022GQ0049655,2
2022GQ0049742,3
2022GQ0049822,2
2022GQ0049842,2
2022GQ0049886,3
2022GQ0050004,3
2022GQ0050047,2
2022GQ0050095,2
2022GQ0050162,2
2022GQ0050211,3
2022GQ0050238,2
2022GQ0050428,3
2022GQ0050596,3
2022GQ0050607,2
2022GQ0050633,2
2022GQ0050642,3
2022GQ0050665,3
2022GQ0050737,2
2022GQ0050744,2
2022GQ0050749,3
2022GQ0050884,3
2022GQ0050929,3
2022GQ0050941,2
2022GQ0051029,3
2022GQ0051045,3
2022GQ0051095,3
2022GQ0051199,2
2022GQ0051224,3
2022GQ0051250,2
2022GQ0051332,2
2022GQ0051431,3
2022GQ0051514,2
2022GQ0051518,2
2022GQ0051663,2
2022GQ0051717,2
2022GQ0051729,3
2022GQ0051733,3
2022GQ0051911,3
2022GQ0051962,3
2022GQ0052035,2
2022GQ0052250,2
2022GQ0052359,2
2022GQ0052361,3
2022GQ0052503,3
2022GQ0052543,2
2022GQ0052624,3
2022GQ0052736,3
2022GQ0052742,2
2022GQ0052775,2
2022GQ0052923,2
2022GQ0052931,3
2022GQ0053035,3
2022GQ0053098,3
2022GQ0053103,3
2022GQ0053250,3
2022GQ0053260,3
2022GQ0053463,2
2022GQ0053467,2
2022GQ0053606,3
2022GQ0053680,2
2022GQ0053721,2
2022GQ0053759,2
2022GQ0053777,2
2022GQ0053783,3
2022GQ0053859,2
2022GQ0054098,2
2022GQ0054103,3
2022GQ0054106,3
2022GQ0054208,3
2022GQ0054432,3
2022GQ0054495,2
2022GQ0054509,3
2022GQ0054538,2
2022GQ0054706,2
2022GQ0054835,3
2022GQ0055014,3
2022GQ0055047,2
2022GQ0055339,3
2022GQ0055408,3
2022GQ0055436,2
2022GQ0055733,2
2022GQ0055765,3
2022GQ0055780,2
2022GQ0055808,2
2022GQ0055883,3
2022GQ0055910,3
2022GQ0055915,2
2022GQ0055933,3
2022GQ0056024,2
2022GQ0056127,3
2022GQ0056179,3
2022GQ0056281,2
2022GQ0056290,3
2022GQ0056330,2
2022GQ0056442,2
2022GQ0056763,2
2022GQ0056770,3
2022GQ0056820,2
2022GQ0056874,3
2022GQ0057114,2
2022GQ0057294,2
2022GQ0057380,2
2022GQ0057381,3
2022GQ0057570,2
2022GQ0057595,2
2022GQ0057617,3
2022GQ0057631,3
2022GQ0057692,2
2022GQ0057863,3
2022GQ0057868,3
2022GQ0057919,3
2022GQ0057924,3
2022GQ0057989,3
2022GQ0058146,3
2022GQ0058218,3
2022GQ0058322,3
2022GQ0058409,2
2022GQ0058553,2
2022GQ0058613,3
2022GQ0058715,3
2022GQ0058725,2
2022GQ0058742,3
2022GQ0058746,2
2022GQ0058796,2
2022GQ0058865,3
2022GQ0058985,3
2022GQ0059073,3
2022GQ0059076,3
2022GQ0059129,3
2022GQ0059160,3
2022GQ0059206,2
